flipped,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,20,gen,,False,SAM FARR,DEMOCRAT,False,TOTAL,172996,233562,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,21,gen,,False,DAVID G. VALADAO,REPUBLICAN,False,TOTAL,67164,116283,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,22,gen,,False,DEVIN NUNES,REPUBLICAN,False,TOTAL,132386,213941,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,23,gen,,False,KEVIN MCCARTHY,REPUBLICAN,False,TOTAL,158161,216003,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,24,gen,,False,LOIS CAPPS,DEMOCRAT,False,TOTAL,156749,284495,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,25,gen,,False,HOWARD P. ??BUCK?? MCKEON,REPUBLICAN,False,TOTAL,129593,236575,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,26,gen,,False,JULIA BROWNLEY,DEMOCRAT,False,TOTAL,139072,263935,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,27,gen,,False,JUDY CHU,DEMOCRAT,False,TOTAL,154191,241008,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,28,gen,,False,ADAM B. SCHIFF,DEMOCRAT,False,TOTAL,188703,246711,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,29,gen,,False,TONY CARDENAS,DEMOCRAT,False,TOTAL,111287,150281,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,30,gen,,False,BRAD SHERMAN,DEMOCRAT,False,TOTAL,149456,247851,False,20201202,False
True,2012,CALIFORNIA,CA,6,93,71,US HOUSE,31,gen,,False,GARY G. MILLER,REPUBLICAN,False,TOTAL,88964,161219,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,32,gen,,False,GRACE F. NAPOLITANO,DEMOCRAT,False,TOTAL,124903,190111,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,33,gen,,False,HENRY A. WAXMAN,DEMOCRAT,False,TOTAL,171860,318520,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,34,gen,,False,XAVIER BECERRA,DEMOCRAT,False,TOTAL,120367,140590,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,35,gen,,False,GLORIA NEGRETE MCLEOD,DEMOCRAT,False,TOTAL,79698,142680,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,36,gen,,False,RAUL RUIZ,DEMOCRAT,False,TOTAL,110189,208142,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,37,gen,,False,KAREN BASS,DEMOCRAT,False,TOTAL,207039,239580,False,20201202,False
False,2012,CALIFORNIA,CA,6,93,71,US HOUSE,38,gen,,False,LINDA T. S_NCHEZ,DEMOCRAT,False,TOTAL,145280,215087,False,20201202,False
